Number of solution;Date of solution;Another date;I dont know how to translate;Name of solution
1/2;1992-03-23;1992-03-23;;О пpоекте Положения о ГКРЧ России                                                          
1/7;1992-03-23;1992-03-23;;О Внутpеннем pегламенте pаботы ГКРЧ                                                        
1/8;1992-03-23;1992-03-23;;План работы ГКРЧ на II квартал 1992 года                                                   
1/6;1992-03-23;1992-03-23;;О пролонгации НТД, принятой ГКРЧ СССР                                                      
1/3;1992-03-23;1992-03-23;;Об утвеpждении статута и состава Специальной подкомиссии                                   
1/4;1992-03-23;1992-03-23;;О состоянии pазpаботки Плана пеpспективного использования РЧС                              
1/5;1992-03-23;1992-03-23;;О пролонгации действия Таблицы распределения полос радиочастот                             
1-ОП;1992-04-02;1992-04-02;;                                                                                          
1-ОП;1992-04-02;1992-04-02;;                                                                                          
2-ОП;1992-04-07;1992-04-07;;                                                                                          
2-ОП;1992-04-07;1992-04-07;;                                                                                          
3-ОП;1992-04-09;1992-04-09;;                                                                                          
3-ОП;1992-04-09;1992-04-09;;                                                                                          
3-ОР;1992-04-10;1992-04-10;;РЭС сухопутной подвижной службы                                                           
3-ОР;1992-04-10;1992-04-10;;РЭС сухопутной подвижной службы                                                           
1-ОР;1992-04-14;1992-04-14;;РЭС радиорелейных систем                                                                  
2-ОР;1992-04-14;1992-04-14;;РЭС сухопутной подвижной службы                                                           
5-ОР;1992-04-14;1992-04-14;;РЭС систем поискового радиовызова                                                         
6-ОР;1992-04-14;1992-04-14;;РЭС радиосвязи фиксированной службы                                                       
7-ОР;1992-04-14;1992-04-14;;РЭС морской подвижной службы                                                              
7-ОР;1992-04-14;1992-04-14;;РЭС морской подвижной службы                                                              
1-ОР;1992-04-14;1992-04-14;;РЭС радиорелейных систем                                                                  
2-ОР;1992-04-14;1992-04-14;;РЭС сухопутной подвижной службы                                                           
5-ОР;1992-04-14;1992-04-14;;РЭС систем поискового радиовызова                                                         
6-ОР;1992-04-14;1992-04-14;;РЭС радиосвязи фиксированной службы                                                       
4-ОР;1992-04-15;1992-04-15;;РЭС радиорелейных систем                                                                  
4-ОР;1992-04-15;1992-04-15;;РЭС радиорелейных систем                                                                  
8-ОР;1992-04-20;1992-04-20;;РЭС радиосвязи фиксированной службы                                                       
8-ОР;1992-04-20;1992-04-20;;РЭС радиосвязи фиксированной службы                                                       
9-ОР;1992-04-24;1992-04-24;;РЭС систем поискового радиовызова                                                         
9-ОР;1992-04-24;1992-04-24;;РЭС систем поискового радиовызова                                                         
2/3;1992-04-27;1992-04-27;;Об использовании р/частот 890-915 МГц и 935-960 МГц для сотовых систем                     
2/4;1992-04-27;1992-04-27;;Сводная потребность РФ в орбитах и точках стояния                                          
2/2;1992-04-27;1992-04-27;1992-07-01;Об утвеpждении Положения по МПЗ                                                  
2/1;1992-04-27;1992-04-27;;Об утвеpждении Положения о регистрации в МСЭ                                               
12-ОР;1992-04-28;1992-04-28;;РЭС радиорелейных систем                                                                 
10-ОР;1992-04-28;1992-04-28;;радиоудлинитель                                                                          
11-ОР;1992-04-28;1992-04-28;;РЭС морской подвижной службы                                                             
10-ОР;1992-04-28;1992-04-28;;радиоудлинитель                                                                          
11-ОР;1992-04-28;1992-04-28;;РЭС морской подвижной службы                                                             
12-ОР;1992-04-28;1992-04-28;;РЭС радиорелейных систем                                                                 
15-ОР;1992-04-30;1992-04-30;;РЭС радиорелейных систем                                                                 
15-ОР;1992-04-30;1992-04-30;;РЭС радиорелейных систем                                                                 
4-ОП;1992-05-05;1992-05-05;;                                                                                          
4-ОП;1992-05-05;1992-05-05;;                                                                                          
13-ОР;1992-05-07;1992-05-07;;РЭС радиосвязи фиксированной службы                                                      
13-ОР;1992-05-07;1992-05-07;;РЭС радиосвязи фиксированной службы                                                      
17-ОР;1992-05-12;1992-05-12;;РЭС систем поискового радиовызова                                                        
16-ОР;1992-05-12;1992-05-12;;РЭС радиосвязи фиксированной службы                                                      
16-ОР;1992-05-12;1992-05-12;;РЭС радиосвязи фиксированной службы                                                      
17-ОР;1992-05-12;1992-05-12;;РЭС систем поискового радиовызова                                                        
18-ОР;1992-05-12;1992-05-12;;РЭС оповещения и сигнализации                                                            
18-ОР;1992-05-12;1992-05-12;;РЭС оповещения и сигнализации                                                            
19-ОР;1992-05-13;1992-05-13;;РЭС сухопутной подвижной службы                                                          
19-ОР;1992-05-13;1992-05-13;;РЭС сухопутной подвижной службы                                                          
20-ОР;1992-05-14;1992-05-14;;РЭС радиотелеметрии                                                                      
14-ОР;1992-05-14;1992-05-14;;РЭС сухопутной подвижной службы                                                          
20-ОР;1992-05-14;1992-05-14;;РЭС радиотелеметрии                                                                      
14-ОР;1992-05-14;1992-05-14;;РЭС сухопутной подвижной службы                                                          
21-ОР;1992-05-20;1992-05-20;;РЭС сухопутной подвижной службы                                                          
21-ОР;1992-05-20;1992-05-20;;РЭС сухопутной подвижной службы                                                          
22-ОР;1992-05-20;1992-05-20;;РЭС систем поискового радиовызова                                                        
23-ОР;1992-05-20;1992-05-20;1996-01-01;РЭС звукового радиовещания                                                     
23-ОР;1992-05-20;1992-05-20;1996-01-01;РЭС звукового радиовещания                                                     
22-ОР;1992-05-20;1992-05-20;;РЭС систем поискового радиовызова                                                        
24-ОР;1992-05-21;1992-05-21;1995-07-01;РЭС эфирно-кабельного вещания                                                  
24-ОР;1992-05-21;1992-05-21;1995-07-01;РЭС эфирно-кабельного вещания                                                  
5-ОП;1992-05-21;1992-05-21;;                                                                                          
5-ОП;1992-05-21;1992-05-21;;                                                                                          
3/3;1992-05-25;1992-05-25;;О результатах НИР "Диалог-89"                                                              
3/1;1992-05-25;1992-05-25;1993-01-01;Утверждение Дополнения №1 к Нормам 12-76                                         
3/2;1992-05-25;1992-05-25;1993-01-01;Утверждение Дополнения №1 к Нормам 19-86                                         
3/2;1992-05-25;1992-05-25;1993-01-01;Утверждение Дополнения №1 к Нормам 19-86                                         
3/1;1992-05-25;1992-05-25;1993-01-01;Утверждение Дополнения №1 к Нормам 12-76                                         
3/4;1992-05-25;1992-05-25;;План работы ГКРЧ на III квартал 1992 года                                                  
